Pavadinimas,Metai,Kėbulo tipas,Kaina,Kuras,Pavarų dėžė,Variklis,Rida,Miestas,Nuoroda
Skoda Fabia,2008,Hečbekas,1 190 €,Benzinas,Mechaninė,"1.4 l., 55 kW",247 045 km,Panevėžys,https://autoplius.lt/skelbimai/skoda-fabia-1-4-l-hecbekas-2008-benzinas-29975365.html
Skoda Fabia,2006-09,Universalas,1 499 €,Dyzelinas,Mechaninė,"1.4 l., 51 kW",329 500 km,Rokiškis,https://autoplius.lt/skelbimai/skoda-fabia-1-4-l-universalas-2006-dyzelinas-29768133.html
Skoda Fabia,2010-04,Hečbekas,1 600 €,Dyzelinas,Mechaninė,"1.4 l., 168 kW",326 909 km,Prienai,https://autoplius.lt/skelbimai/skoda-fabia-1-4-l-hecbekas-2010-dyzelinas-30077511.html
Skoda Yeti,2010-02,Visureigis / Krosoveris,1 300 €,Benzinas,Mechaninė,"1.2 l., 77 kW",259 766 km,Vilnius,https://autoplius.lt/skelbimai/skoda-yeti-1-2-l-visureigis-krosoveris-2010-benzinas-30067275.html
Skoda Fabia,2013-09,Hečbekas,1 950 €,Benzinas,Mechaninė,"1.2 l., 63 kW",192 000 km,Rokiškis,https://autoplius.lt/skelbimai/skoda-fabia-1-2-l-hecbekas-2013-benzinas-30073383.html
Skoda Fabia,2011,Universalas,1 500 €,Benzinas,Mechaninė,"1.2 l., 51 kW",195 000 km,Vilnius,https://autoplius.lt/skelbimai/skoda-fabia-1-2-l-universalas-2011-benzinas-30076133.html
Skoda Fabia,2009-06,Universalas,1 698 €,Benzinas,Mechaninė,"1.2 l., 51 kW",200 000 km,Jurbarkas,https://autoplius.lt/skelbimai/skoda-fabia-1-2-l-universalas-2009-benzinas-29281612.html
Skoda Fabia,2010-02,Hečbekas,1 200 €,Benzinas,Mechaninė,"1.2 l., 44 kW",243 000 km,Šiauliai,https://autoplius.lt/skelbimai/skoda-fabia-1-2-l-hecbekas-2010-benzinas-29586691.html
Skoda Fabia,2013-12,Hečbekas,1 700 €,Benzinas,Mechaninė,"1.2 l., 44 kW",236 000 km,Kaunas,https://autoplius.lt/skelbimai/skoda-fabia-1-2-l-hecbekas-2013-benzinas-29661253.html
Skoda Citigo,2013-01,Hečbekas,1 990 €,Benzinas,Mechaninė,"1.0 l., 44 kW",169 000 km,Kaunas,https://autoplius.lt/skelbimai/skoda-citigo-1-0-l-hecbekas-2013-benzinas-28679015.html
Skoda Superb,2007-11,Sedanas,2 350 €,Benzinas,Automatinė,"2.8 l., 142 kW",126 079 km,Vilnius,https://autoplius.lt/skelbimai/skoda-superb-2-8-l-sedanas-2007-benzinas-29740949.html
Skoda Superb,2007,Sedanas,2 000 €,Dyzelinas,Automatinė,"2.5 l., 120 kW",2 777 777 km,Vilnius,https://autoplius.lt/skelbimai/skoda-superb-2-5-l-sedanas-2007-dyzelinas-29628947.html
Skoda Yeti,2014-07,Hečbekas,2 290 €,Dyzelinas,Mechaninė,"2.0 l., 81 kW",365 365 km,Panevėžys,https://autoplius.lt/skelbimai/skoda-yeti-2-0-l-hecbekas-2014-dyzelinas-30021433.html
Skoda Yeti,2010-06,Vienatūris,2 599 €,Dyzelinas,Mechaninė,"2.0 l., 81 kW",300 000 km,Mažeikiai,https://autoplius.lt/skelbimai/skoda-yeti-2-0-l-vienaturis-2010-dyzelinas-29071531.html
Skoda Octavia,2007-06,Universalas,2 700 €,Benzinas,Mechaninė,"2.0 l., 147 kW",301 000 km,Kaunas,https://autoplius.lt/skelbimai/skoda-octavia-2-0-l-universalas-2007-benzinas-29913637.html
Skoda Superb,2008-10,Hečbekas,2 700 €,Dyzelinas,Mechaninė,"2.0 l., 125 kW",272 000 km,Tauragė,https://autoplius.lt/skelbimai/skoda-superb-2-0-l-hecbekas-2008-dyzelinas-29003753.html
Skoda Superb,2009-08,Hečbekas,2 350 €,Dyzelinas,Automatinė,"2.0 l., 125 kW",524 000 km,Vilnius,https://autoplius.lt/skelbimai/skoda-superb-2-0-l-hecbekas-2009-dyzelinas-29915433.html
Skoda Octavia,2006-08,Universalas,2 599 €,Dyzelinas,Mechaninė,"2.0 l., 103 kW",267 112 km,Vilkaviškis,https://autoplius.lt/skelbimai/skoda-octavia-2-0-l-universalas-2006-dyzelinas-29783961.html
Skoda Superb,2010-03,Hečbekas,2 950 €,Dyzelinas,Mechaninė,"2.0 l., 103 kW",282 954 km,Klaipėda,https://autoplius.lt/skelbimai/skoda-superb-2-0-l-hecbekas-2010-dyzelinas-30033831.html
Skoda Superb,2010-01,Sedanas,2 990 €,Dyzelinas,Mechaninė,"2.0 l., 103 kW",340 000 km,Alytus,https://autoplius.lt/skelbimai/skoda-superb-2-0-l-sedanas-2010-dyzelinas-29612321.html
Skoda Octavia,2011-04,Universalas,2 850 €,Dyzelinas,Automatinė,"2.0 l., 103 kW",435 000 km,Vilnius,https://autoplius.lt/skelbimai/skoda-octavia-2-0-l-universalas-2011-dyzelinas-29905950.html
Skoda Superb,2010-07,Universalas,2 050 €,Dyzelinas,Automatinė,"2.0 l., 103 kW",27 000 km,Panevėžys,https://autoplius.lt/skelbimai/skoda-superb-2-0-l-universalas-2010-dyzelinas-29969583.html
Skoda Octavia,2010,Universalas,2 450 €,Dyzelinas,Mechaninė,"2.0 l., 103 kW",430 300 km,Ukmergė,https://autoplius.lt/skelbimai/skoda-octavia-2-0-l-universalas-2010-dyzelinas-29901712.html
Skoda Octavia,2011-08,Universalas,2 499 €,Dyzelinas,Mechaninė,"2.0 l., 103 kW",366 000 km,Vilnius,https://autoplius.lt/skelbimai/skoda-octavia-2-0-l-universalas-2011-dyzelinas-29805737.html
Skoda Superb,2012-07,Universalas,2 550 €,Dyzelinas,Mechaninė,"2.0 l., 103 kW",318 321 km,Raseiniai,https://autoplius.lt/skelbimai/skoda-superb-2-0-l-universalas-2012-dyzelinas-30076701.html
Skoda Fabia,2008-11,Universalas,2 350 €,Dyzelinas,Mechaninė,"1.9 l., 77 kW",280 000 km,Marijampolė,https://autoplius.lt/skelbimai/skoda-fabia-1-9-l-universalas-2008-dyzelinas-29875522.html
Skoda Octavia,2010-10,Sedanas,2 490 €,Dyzelinas,Mechaninė,"1.9 l., 77 kW",290 500 km,Vilnius,https://autoplius.lt/skelbimai/skoda-octavia-1-9-l-sedanas-2010-dyzelinas-30041555.html
Skoda Superb,2010-05,Sedanas,2 200 €,Dyzelinas,Mechaninė,"1.9 l., 77 kW",240 000 km,Tauragė,https://autoplius.lt/skelbimai/skoda-superb-1-9-l-sedanas-2010-dyzelinas-29963769.html
Skoda Octavia,2010-11,Sedanas,2 950 €,Dyzelinas,Mechaninė,"1.9 l., 77 kW",330 000 km,Vilnius,https://autoplius.lt/skelbimai/skoda-octavia-1-9-l-sedanas-2010-dyzelinas-29410592.html
Skoda Octavia,2008-12,Sedanas,2 700 €,Dyzelinas,Mechaninė,"1.9 l., 77 kW",329 000 km,Tauragė,https://autoplius.lt/skelbimai/skoda-octavia-1-9-l-sedanas-2008-dyzelinas-29662393.html
Skoda Octavia,2002-06,Universalas,2 200 €,Dyzelinas,Mechaninė,"1.9 l., 74 kW",450 000 km,Šilutė,https://autoplius.lt/skelbimai/skoda-octavia-1-9-l-universalas-2002-dyzelinas-29844892.html
Skoda Octavia,2011-07,Hečbekas,2 999 €,Benzinas,Mechaninė,"1.8 l., 118 kW",231 000 km,Kaunas,https://autoplius.lt/skelbimai/skoda-octavia-1-8-l-hecbekas-2011-benzinas-30066983.html
Skoda Octavia,2018-08,Universalas,2 904 €,Dyzelinas,Mechaninė,"1.6 l., 85 kW",307 241 km,Šiauliai,https://autoplius.lt/skelbimai/skoda-octavia-1-6-l-universalas-2018-dyzelinas-30077229.html
Skoda Octavia,2012-03,Hečbekas,2 500 €,Dyzelinas,Mechaninė,"1.6 l., 77 kW",221 681 km,Palanga,https://autoplius.lt/skelbimai/skoda-octavia-1-6-l-hecbekas-2012-dyzelinas-29747243.html
Skoda Octavia,2010-07,Hečbekas,2 990 €,Dyzelinas,Mechaninė,"1.6 l., 77 kW",263 000 km,Vilnius,https://autoplius.lt/skelbimai/skoda-octavia-1-6-l-hecbekas-2010-dyzelinas-30030525.html
Skoda Octavia,2009-10,Universalas,2 550 €,Dyzelinas,Mechaninė,"1.6 l., 77 kW",340 000 km,Vilnius,https://autoplius.lt/skelbimai/skoda-octavia-1-6-l-universalas-2009-dyzelinas-29792279.html
Skoda Octavia,2011-03,Universalas,2 200 €,Dyzelinas,Mechaninė,"1.6 l., 77 kW",380 000 km,Kaunas,https://autoplius.lt/skelbimai/skoda-octavia-1-6-l-universalas-2011-dyzelinas-29691285.html
Skoda Octavia,2012-10,Sedanas,2 800 €,Dyzelinas,Automatinė,"1.6 l., 77 kW",,Vilnius,https://autoplius.lt/skelbimai/skoda-octavia-1-6-l-sedanas-2012-dyzelinas-29670329.html
Skoda Rapid,2015-07,Hečbekas,2 950 €,Dyzelinas,Mechaninė,"1.6 l., 66 kW",218 000 km,Vilnius,https://autoplius.lt/skelbimai/skoda-rapid-1-6-l-hecbekas-2015-dyzelinas-29833274.html
Skoda Roomster,2015-03,Vienatūris,2 200 €,Dyzelinas,Mechaninė,"1.6 l., 66 kW",337 073 km,Kaunas,https://autoplius.lt/skelbimai/skoda-roomster-1-6-l-vienaturis-2015-dyzelinas-29995565.html
Skoda Fabia,2011-03,Universalas,2 500 €,Dyzelinas,Mechaninė,"1.6 l., 66 kW",210 000 km,Kaunas,https://autoplius.lt/skelbimai/skoda-fabia-1-6-l-universalas-2011-dyzelinas-29587503.html
Skoda Fabia,2012,Hečbekas,2 400 €,Dyzelinas,Mechaninė,"1.6 l., 66 kW",,Vilnius,https://autoplius.lt/skelbimai/skoda-fabia-1-6-l-hecbekas-2012-dyzelinas-30043167.html
Skoda Fabia,2010-11,Universalas,2 350 €,Dyzelinas,Mechaninė,"1.6 l., 66 kW",295 421 km,Kelmė,https://autoplius.lt/skelbimai/skoda-fabia-1-6-l-universalas-2010-dyzelinas-30047705.html
Skoda Fabia,2013-03,Hečbekas,2 550 €,Dyzelinas,Mechaninė,"1.6 l., 66 kW",286 391 km,Vilnius,https://autoplius.lt/skelbimai/skoda-fabia-1-6-l-hecbekas-2013-dyzelinas-28829703.html
Skoda Fabia,2013-01,Universalas,2 200 €,Dyzelinas,Mechaninė,"1.6 l., 66 kW",303 208 km,Marijampolė,https://autoplius.lt/skelbimai/skoda-fabia-1-6-l-universalas-2013-dyzelinas-26816283.html
Skoda Fabia,2010-09,Hečbekas,2 350 €,Dyzelinas,Mechaninė,"1.6 l., 55 kW",161 599 km,Vilnius,https://autoplius.lt/skelbimai/skoda-fabia-1-6-l-hecbekas-2010-dyzelinas-30069217.html
Skoda Superb,2014,Sedanas,2 000 €,Dyzelinas,Mechaninė,"1.6 l.,",200 000 km,Tauragė,https://autoplius.lt/skelbimai/skoda-superb-1-6-l-sedanas-2014-dyzelinas-30053067.html
Skoda Octavia,2010-03,Universalas,2 900 €,Benzinas,Mechaninė,"1.4 l., 90 kW",245 000 km,Klaipėda,https://autoplius.lt/skelbimai/skoda-octavia-1-4-l-universalas-2010-benzinas-28935959.html
Skoda Octavia,2012-03,Universalas,2 600 €,Benzinas,Mechaninė,"1.4 l., 90 kW",202 000 km,Šiauliai,https://autoplius.lt/skelbimai/skoda-octavia-1-4-l-universalas-2012-benzinas-28701353.html
Skoda Octavia,2010-04,Sedanas,2 500 €,Benzinas,Mechaninė,"1.4 l., 90 kW",210 000 km,Kaunas,https://autoplius.lt/skelbimai/skoda-octavia-1-4-l-sedanas-2010-benzinas-30029097.html
Skoda Octavia,2009-11,Universalas,2 300 €,Benzinas,Automatinė,"1.4 l., 90 kW",330 000 km,Kaunas,https://autoplius.lt/skelbimai/skoda-octavia-1-4-l-universalas-2009-benzinas-29873386.html
Skoda Fabia,2015-11,Universalas,2 800 €,Dyzelinas,Mechaninė,"1.4 l., 66 kW",286 100 km,Kaunas,https://autoplius.lt/skelbimai/skoda-fabia-1-4-l-universalas-2015-dyzelinas-30038647.html
Skoda Fabia,2015-12,Universalas,2 800 €,Dyzelinas,Mechaninė,"1.4 l., 66 kW",,Vilnius,https://autoplius.lt/skelbimai/skoda-fabia-1-4-l-universalas-2015-dyzelinas-29896208.html
Skoda Fabia,2009-01,Universalas,2 499 €,Benzinas / dujos,Mechaninė,"1.4 l., 63 kW",239 850 km,Vilnius,https://autoplius.lt/skelbimai/skoda-fabia-1-4-l-universalas-2009-benzinas-dujos-30016915.html
Skoda Roomster,2009-09,Universalas,2 500 €,Benzinas / dujos,Mechaninė,"1.4 l., 63 kW",274 000 km,Klaipėda,https://autoplius.lt/skelbimai/skoda-roomster-1-4-l-universalas-2009-benzinas-dujos-29720911.html
Skoda Fabia,2009-02,Hečbekas,2 000 €,Dyzelinas,Mechaninė,"1.4 l., 59 kW",279 313 km,Vilnius,https://autoplius.lt/skelbimai/skoda-fabia-1-4-l-hecbekas-2009-dyzelinas-29665843.html
Skoda Fabia,2010-02,Hečbekas,2 000 €,Dyzelinas,Mechaninė,"1.4 l., 51 kW",326 905 km,Utena,https://autoplius.lt/skelbimai/skoda-fabia-1-4-l-hecbekas-2010-dyzelinas-29322598.html
Skoda Octavia,2013-10,Sedanas,2 700 €,Benzinas,Mechaninė,"1.4 l., 103 kW",363 092 km,"Rīga, Latvija",https://autoplius.lt/skelbimai/skoda-octavia-1-4-l-sedanas-2013-benzinas-30052229.html
Skoda Roomster,2007-12,Vienatūris,2 650 €,Benzinas / dujos,Mechaninė,"1.4 l.,",246 211 km,Prienai,https://autoplius.lt/skelbimai/skoda-roomster-1-4-l-vienaturis-2007-benzinas-dujos-30069175.html
Skoda Octavia,2012-05,Universalas,2 490 €,Benzinas,Mechaninė,"1.2 l., 77 kW",223 343 km,Vilnius,https://autoplius.lt/skelbimai/skoda-octavia-1-2-l-universalas-2012-benzinas-28512487.html
Skoda Octavia,2010-05,Universalas,2 950 €,Benzinas,Mechaninė,"1.2 l., 77 kW",269 000 km,Telšiai,https://autoplius.lt/skelbimai/skoda-octavia-1-2-l-universalas-2010-benzinas-29966943.html
Skoda Octavia,2010-12,Universalas,2 650 €,Benzinas,Mechaninė,"1.2 l., 77 kW",160 000 km,Biržai,https://autoplius.lt/skelbimai/skoda-octavia-1-2-l-universalas-2010-benzinas-29741801.html
Skoda Octavia,2011-06,Universalas,2 450 €,Benzinas,Mechaninė,"1.2 l., 77 kW",237 000 km,Ukmergė,https://autoplius.lt/skelbimai/skoda-octavia-1-2-l-universalas-2011-benzinas-30000727.html
Skoda Rapid,2014-02,Hečbekas,2 400 €,Benzinas,Mechaninė,"1.2 l., 63 kW",176 448 km,Panevėžys,https://autoplius.lt/skelbimai/skoda-rapid-1-2-l-hecbekas-2014-benzinas-30064395.html
Skoda Fabia,2011-09,Universalas,2 000 €,Dyzelinas,Mechaninė,"1.2 l., 55 kW",221 921 km,Vilnius,https://autoplius.lt/skelbimai/skoda-fabia-1-2-l-universalas-2011-dyzelinas-30049335.html
Skoda Fabia,2010-08,Hečbekas,2 999 €,Dyzelinas,Mechaninė,"1.2 l., 55 kW",374 935 km,Kaunas,https://autoplius.lt/skelbimai/skoda-fabia-1-2-l-hecbekas-2010-dyzelinas-30037823.html
Skoda Fabia,2011,Universalas,2 000 €,Dyzelinas,Mechaninė,"1.2 l., 55 kW",274 418 km,Vilnius,https://autoplius.lt/skelbimai/skoda-fabia-1-2-l-universalas-2011-dyzelinas-29720667.html
Skoda Fabia,2010-08,Universalas,2 000 €,Dyzelinas,Mechaninė,"1.2 l., 55 kW",318 000 km,Vilnius,https://autoplius.lt/skelbimai/skoda-fabia-1-2-l-universalas-2010-dyzelinas-28873217.html
Skoda Fabia,2011-08,Universalas,2 200 €,Dyzelinas,Mechaninė,"1.2 l., 55 kW",243 000 km,Kaunas,https://autoplius.lt/skelbimai/skoda-fabia-1-2-l-universalas-2011-dyzelinas-29871034.html
Skoda Fabia,2010-05,Universalas,2 000 €,Benzinas,Mechaninė,"1.2 l., 51 kW",107 000 km,Vilkaviškis,https://autoplius.lt/skelbimai/skoda-fabia-1-2-l-universalas-2010-benzinas-29417762.html
Skoda Roomster,2007-09,Vienatūris,2 500 €,Benzinas / dujos,Mechaninė,"1.2 l., 51 kW",265 000 km,Marijampolė,https://autoplius.lt/skelbimai/skoda-roomster-1-2-l-vienaturis-2007-benzinas-dujos-29582319.html
Skoda Fabia,2014-07,Hečbekas,2 200 €,Benzinas,Mechaninė,"1.2 l., 51 kW",100 000 km,Druskininkai,https://autoplius.lt/skelbimai/skoda-fabia-1-2-l-hecbekas-2014-benzinas-29897534.html
Skoda Roomster,2012,Vienatūris,2 950 €,Benzinas,Mechaninė,"1.2 l., 51 kW",192 500 km,Kaunas,https://autoplius.lt/skelbimai/skoda-roomster-1-2-l-vienaturis-2012-benzinas-26903319.html
Skoda Fabia,2008-11,Hečbekas,2 500 €,Benzinas,Mechaninė,"1.2 l., 44 kW",245 000 km,Kaunas,https://autoplius.lt/skelbimai/skoda-fabia-1-2-l-hecbekas-2008-benzinas-26785447.html
Skoda Fabia,2010,Hečbekas,2 250 €,Benzinas,Mechaninė,"1.2 l., 44 kW",147 000 km,Vilnius,https://autoplius.lt/skelbimai/skoda-fabia-1-2-l-hecbekas-2010-benzinas-29460156.html
Skoda Fabia,2019-03,Hečbekas,2 850 €,Benzinas,Mechaninė,"1.0 l., 55 kW",134 000 km,Vilnius,https://autoplius.lt/skelbimai/skoda-fabia-1-0-l-hecbekas-2019-benzinas-29718223.html
Skoda Octavia,2012-02,Universalas,3 000 €,Dyzelinas,Mechaninė,77 kW,375 328 km,Vilnius,https://autoplius.lt/skelbimai/skoda-octavia-universalas-2012-dyzelinas-29052675.html
Skoda Yeti,2011,Vienatūris,3 377 €,Dyzelinas,Mechaninė,"2.0 l., 82 kW",406 369 km,Šiauliai,https://autoplius.lt/skelbimai/skoda-yeti-2-0-l-vienaturis-2011-dyzelinas-29824902.html
Skoda Yeti,2015-02,Vienatūris,3 090 €,Dyzelinas,Mechaninė,"2.0 l., 81 kW",216 000 km,Panevėžys,https://autoplius.lt/skelbimai/skoda-yeti-2-0-l-vienaturis-2015-dyzelinas-30072339.html
Skoda Yeti,2010-12,Hečbekas,3 850 €,Dyzelinas,Mechaninė,"2.0 l., 81 kW",477 000 km,Vilnius,https://autoplius.lt/skelbimai/skoda-yeti-2-0-l-hecbekas-2010-dyzelinas-29974139.html
Skoda Octavia,2007,Universalas,3 500 €,Dyzelinas,Mechaninė,"2.0 l., 125 kW",189 000 km,Telšiai,https://autoplius.lt/skelbimai/skoda-octavia-2-0-l-universalas-2007-dyzelinas-30054757.html
Skoda Octavia,2008,Universalas,3 999 €,Dyzelinas,Mechaninė,"2.0 l., 125 kW",281 105 km,Vilnius,https://autoplius.lt/skelbimai/skoda-octavia-2-0-l-universalas-2008-dyzelinas-30067533.html
Skoda Superb,2009-10,Hečbekas,3 300 €,Dyzelinas,Automatinė,"2.0 l., 125 kW",,Vilnius,https://autoplius.lt/skelbimai/skoda-superb-2-0-l-hecbekas-2009-dyzelinas-29745945.html
Skoda Superb,2017-08,Hečbekas,3 500 €,Dyzelinas,Mechaninė,"2.0 l., 110 kW",,Vilnius,https://autoplius.lt/skelbimai/skoda-superb-2-0-l-hecbekas-2017-dyzelinas-30043375.html
Skoda Octavia,2013-11,Universalas,3 300 €,Dyzelinas,Mechaninė,"2.0 l., 110 kW",450 000 km,Vilnius,https://autoplius.lt/skelbimai/skoda-octavia-2-0-l-universalas-2013-dyzelinas-30054827.html
Skoda Superb,2013-04,Universalas,3 200 €,Dyzelinas,Automatinė,"2.0 l., 103 kW",260 000 km,Vilnius,https://autoplius.lt/skelbimai/skoda-superb-2-0-l-universalas-2013-dyzelinas-30028519.html
Skoda Octavia,2010,Universalas,3 799 €,Dyzelinas,Automatinė,"2.0 l., 103 kW",288 000 km,Šiauliai,https://autoplius.lt/skelbimai/skoda-octavia-2-0-l-universalas-2010-dyzelinas-29657789.html
Skoda Superb,2011-03,Sedanas,3 999 €,Dyzelinas,Automatinė,"2.0 l., 103 kW",356 592 km,Klaipėda,https://autoplius.lt/skelbimai/skoda-superb-2-0-l-sedanas-2011-dyzelinas-30022843.html
Skoda Octavia,2010,Universalas,3 300 €,Dyzelinas,Mechaninė,"2.0 l., 103 kW",302 000 km,Tauragė,https://autoplius.lt/skelbimai/skoda-octavia-2-0-l-universalas-2010-dyzelinas-29478272.html
Skoda Superb,2010-04,Universalas,3 200 €,Dyzelinas,Mechaninė,"2.0 l., 103 kW",353 204 km,Kelmė,https://autoplius.lt/skelbimai/skoda-superb-2-0-l-universalas-2010-dyzelinas-29940177.html
